Time (h),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,0.359,0.286,0.136,0.106,0.325,0.327,0.13,0.104,0.355,0.323,0.052,0.056,0.201,0.193,0.093,0.077,0.176,0.187,0.091,0.077,0.191,0.205,0.053,0.052,0.133,0.122,0.077,0.065,0.124,0.122,0.074,0.068,0.126,0.121,0.056,0.05,0.091,0.089,0.065,0.059,0.087,0.086,0.063,0.056,0.085,0.086,0.055,0.05,0.069,0.076,0.056,0.055,0.075,0.07,0.058,0.058,0.07,0.071,0.051,0.05,0.067,0.059,0.055,0.056,0.06,0.058,0.055,0.056,0.058,0.059,0.052,0.053,0.06,0.058,0.053,0.057,0.056,0.054,0.054,0.051,0.056,0.055,0.049,0.05,0.053,0.052,0.053,0.054,0.056,0.054,0.05,0.055,0.052,0.053,0.053,0.056
0.5,0.334,0.286,0.159,0.123,0.335,0.335,0.142,0.111,0.334,0.329,0.051,0.056,0.202,0.191,0.107,0.084,0.19,0.192,0.1,0.082,0.192,0.18,0.053,0.052,0.132,0.124,0.083,0.069,0.123,0.12,0.076,0.07,0.13,0.127,0.056,0.05,0.09,0.087,0.067,0.06,0.085,0.086,0.065,0.056,0.083,0.088,0.055,0.049,0.074,0.075,0.058,0.056,0.076,0.069,0.058,0.059,0.069,0.071,0.051,0.05,0.068,0.059,0.056,0.056,0.06,0.059,0.055,0.057,0.058,0.059,0.052,0.053,0.06,0.059,0.054,0.058,0.056,0.055,0.054,0.051,0.055,0.055,0.049,0.05,0.054,0.053,0.054,0.055,0.056,0.055,0.051,0.055,0.052,0.053,0.052,0.057
1.0,0.313,0.311,0.174,0.142,0.347,0.334,0.168,0.126,0.361,0.356,0.051,0.056,0.216,0.206,0.124,0.096,0.207,0.207,0.114,0.089,0.213,0.202,0.053,0.052,0.141,0.132,0.096,0.075,0.135,0.133,0.08,0.063,0.141,0.14,0.056,0.05,0.092,0.092,0.073,0.064,0.089,0.09,0.064,0.055,0.088,0.091,0.054,0.049,0.076,0.077,0.06,0.057,0.079,0.071,0.059,0.058,0.071,0.072,0.051,0.05,0.069,0.06,0.057,0.057,0.061,0.06,0.056,0.057,0.058,0.06,0.052,0.053,0.061,0.059,0.054,0.058,0.057,0.055,0.054,0.051,0.055,0.054,0.049,0.05,0.053,0.053,0.054,0.055,0.056,0.054,0.05,0.055,0.052,0.053,0.052,0.056
1.5,0.348,0.341,0.205,0.173,0.395,0.4,0.199,0.141,0.42,0.407,0.051,0.056,0.242,0.224,0.144,0.112,0.23,0.237,0.132,0.102,0.24,0.229,0.053,0.052,0.15,0.142,0.115,0.084,0.152,0.153,0.099,0.072,0.162,0.159,0.056,0.05,0.099,0.098,0.08,0.069,0.099,0.101,0.073,0.062,0.1,0.1,0.054,0.049,0.078,0.08,0.065,0.06,0.082,0.076,0.062,0.059,0.075,0.076,0.051,0.05,0.07,0.061,0.059,0.059,0.062,0.062,0.057,0.057,0.059,0.059,0.052,0.053,0.061,0.059,0.056,0.058,0.058,0.056,0.055,0.052,0.057,0.055,0.049,0.05,0.054,0.053,0.055,0.055,0.056,0.055,0.051,0.055,0.053,0.053,0.052,0.056
2.0,0.405,0.396,0.263,0.198,0.456,0.457,0.235,0.167,0.475,0.461,0.051,0.056,0.264,0.244,0.176,0.129,0.269,0.272,0.154,0.117,0.272,0.282,0.053,0.052,0.166,0.154,0.128,0.099,0.173,0.177,0.112,0.078,0.191,0.191,0.056,0.05,0.107,0.101,0.093,0.077,0.11,0.113,0.08,0.064,0.112,0.112,0.055,0.049,0.083,0.085,0.075,0.065,0.09,0.084,0.065,0.063,0.084,0.08,0.051,0.05,0.072,0.063,0.063,0.061,0.065,0.065,0.06,0.059,0.062,0.059,0.052,0.053,0.062,0.06,0.058,0.059,0.059,0.058,0.056,0.052,0.058,0.055,0.049,0.05,0.055,0.054,0.056,0.056,0.057,0.056,0.052,0.056,0.053,0.054,0.052,0.056
2.5,0.501,0.474,0.328,0.251,0.52,0.504,0.259,0.179,0.519,0.521,0.051,0.056,0.312,0.272,0.226,0.157,0.325,0.331,0.176,0.13,0.313,0.316,0.052,0.052,0.183,0.167,0.153,0.114,0.21,0.215,0.129,0.091,0.213,0.202,0.056,0.05,0.115,0.108,0.112,0.093,0.124,0.131,0.089,0.072,0.128,0.129,0.054,0.049,0.087,0.087,0.089,0.072,0.1,0.089,0.072,0.069,0.093,0.091,0.051,0.05,0.072,0.063,0.067,0.064,0.07,0.069,0.064,0.06,0.069,0.065,0.051,0.053,0.063,0.061,0.061,0.061,0.062,0.06,0.058,0.054,0.06,0.059,0.049,0.049,0.056,0.054,0.057,0.056,0.058,0.057,0.053,0.056,0.054,0.056,0.052,0.056
3.0,0.547,0.53,0.396,0.297,0.592,0.586,0.288,0.209,0.601,0.608,0.051,0.056,0.349,0.314,0.277,0.204,0.381,0.357,0.193,0.15,0.365,0.366,0.053,0.052,0.206,0.188,0.206,0.143,0.236,0.246,0.146,0.113,0.255,0.24,0.056,0.05,0.124,0.115,0.132,0.105,0.149,0.152,0.1,0.075,0.155,0.154,0.054,0.049,0.091,0.092,0.106,0.084,0.114,0.096,0.086,0.074,0.11,0.105,0.051,0.05,0.074,0.065,0.079,0.069,0.076,0.078,0.068,0.064,0.077,0.074,0.052,0.053,0.064,0.062,0.065,0.065,0.064,0.064,0.061,0.054,0.063,0.061,0.049,0.049,0.056,0.055,0.06,0.058,0.059,0.059,0.055,0.057,0.055,0.058,0.052,0.056
3.5,0.641,0.597,0.431,0.356,0.645,0.647,0.303,0.225,0.67,0.672,0.051,0.056,0.397,0.356,0.329,0.261,0.428,0.409,0.219,0.168,0.42,0.427,0.053,0.052,0.234,0.218,0.265,0.178,0.282,0.302,0.169,0.144,0.298,0.28,0.056,0.05,0.136,0.128,0.163,0.119,0.166,0.176,0.121,0.088,0.176,0.182,0.054,0.049,0.091,0.099,0.126,0.093,0.124,0.122,0.093,0.081,0.126,0.126,0.051,0.05,0.077,0.066,0.093,0.076,0.082,0.086,0.078,0.067,0.085,0.087,0.052,0.053,0.066,0.063,0.073,0.07,0.069,0.069,0.066,0.057,0.067,0.068,0.049,0.05,0.057,0.055,0.065,0.06,0.061,0.061,0.057,0.058,0.058,0.06,0.052,0.056
4.0,0.678,0.648,0.476,0.39,0.684,0.687,0.33,0.253,0.719,0.727,0.051,0.056,0.45,0.406,0.392,0.308,0.495,0.479,0.249,0.191,0.497,0.507,0.052,0.052,0.271,0.256,0.316,0.224,0.34,0.337,0.2,0.18,0.337,0.328,0.056,0.05,0.149,0.144,0.212,0.153,0.219,0.222,0.138,0.108,0.217,0.213,0.054,0.049,0.096,0.107,0.153,0.114,0.145,0.121,0.108,0.089,0.147,0.137,0.051,0.05,0.079,0.068,0.112,0.085,0.096,0.088,0.089,0.076,0.095,0.102,0.052,0.052,0.067,0.064,0.086,0.08,0.074,0.075,0.069,0.059,0.076,0.074,0.048,0.049,0.058,0.056,0.073,0.064,0.065,0.064,0.06,0.06,0.059,0.064,0.052,0.056
4.5,0.721,0.689,0.498,0.425,0.723,0.713,0.348,0.269,0.758,0.762,0.051,0.056,0.503,0.46,0.419,0.361,0.553,0.551,0.283,0.216,0.562,0.545,0.052,0.052,0.277,0.288,0.367,0.27,0.381,0.381,0.225,0.192,0.392,0.402,0.056,0.05,0.176,0.164,0.269,0.196,0.239,0.242,0.164,0.123,0.264,0.252,0.054,0.049,0.108,0.118,0.201,0.137,0.164,0.163,0.123,0.105,0.168,0.152,0.051,0.05,0.083,0.07,0.131,0.097,0.107,0.101,0.099,0.082,0.107,0.114,0.051,0.053,0.069,0.065,0.101,0.086,0.083,0.082,0.077,0.064,0.082,0.081,0.049,0.049,0.059,0.057,0.084,0.07,0.068,0.069,0.064,0.063,0.064,0.068,0.052,0.056
